Semana;Conteúdo;Número;cod_questao;questao
17/02/2025;MATEMÁTICA / Leandro;4;MAT1.7.0104;Qual é a forma correta de utilizar a decomposição na multiplicação?
17/02/2025;MATEMÁTICA / Leandro;5;MAT1.7.0105;Como podemos dividir um número utilizando a decomposição?
17/02/2025;MATEMÁTICA / Leandro;6;MAT1.7.0106;"O que consiste a estratégia ""arredonde e compense""?"
17/02/2025;MATEMÁTICA / Leandro;7;MAT1.7.0107;"Qual é o objetivo da estratégia de ""adicione ou diminua o valor dos dois números""?"
17/02/2025;MATEMÁTICA / Leandro;8;MAT1.7.0108;"Como funciona a estratégia de ""passar valores para o outro número""?"
17/02/2025;MATEMÁTICA / Leandro;9;MAT1.7.0109;Como a decomposição pode ajudar em cálculos mentais?
17/02/2025;MATEMÁTICA / Leandro;10;MAT1.7.0110;Por que devemos deixar a vírgula para o final ao calcular com números decimais?
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
17/02/2025;CIÊNCIAS / Erika;;CIE1.7.0101;
17/02/2025;HISTÓRIA / Jandira;;HIS1.7.0101;
17/02/2025;GEOGRAFIA / Brenda;;GEO1.7.0101;
